,code_x,area,date,median_salary,life_satisfaction,mean_salary,recycling_pct,population_size,number_of_jobs,area_size,no_of_houses,borough_flag,population_density,average_price,houses_sold,no_of_crimes,code_y,latitude,longitude,distance_to_centre,income_price_ratio
0,E09000001,city of london,1999,33020.0,,48922.0,0.0,6581.0,,,,1,,171300.08333333334,536.0,0.0,E09000001,,,,3.50149387460311
1,E09000002,barking and dagenham,1999,21480.0,,23620.0,3.0,162444.0,,,,1,,65320.833333333336,2686.0,0.0,E09000002,51.5607,0.1557,21.519657638188217,2.7654882867626305
2,E09000003,barnet,1999,19568.0,,23128.0,8.0,313469.0,,,,1,,136004.41666666666,7487.0,0.0,E09000003,51.6252,-0.1517,14.2740326273208,5.880509195203505
3,E09000004,bexley,1999,18621.0,,21386.0,18.0,217458.0,,,,1,,86777.66666666667,5060.0,0.0,E09000004,51.4549,0.1505,20.53710694269428,4.057685713395056
4,E09000005,brent,1999,18532.0,,20911.0,6.0,260317.0,,,,1,,112157.41666666667,4618.0,0.0,E09000005,51.5588,-0.2817,12.14358294359479,5.36356064591204
5,E09000006,bromley,1999,16720.0,,21293.0,13.0,294902.0,,,,1,,120874.08333333333,7147.0,0.0,E09000006,51.4039,0.0198,15.064832628203135,5.676705176975219
6,E09000007,camden,1999,23677.0,,30249.0,13.0,190003.0,,,,1,,191090.66666666666,3981.0,0.0,E09000007,51.529,-0.1255,3.6279769036763025,6.317255666854001
7,E09000008,croydon,1999,19563.0,,22205.0,13.0,332066.0,,,,1,,97173.25,7907.0,0.0,E09000008,51.3714,-0.0977,14.26579895663847,4.3761877955415445
8,E09000009,ealing,1999,20580.0,,25046.0,12.0,302252.0,,,,1,,126278.33333333333,6152.0,0.0,E09000009,51.513,-0.3089,12.048618228053073,5.041856317708749
9,E09000010,enfield,1999,19289.0,,21006.0,9.0,272731.0,,,,1,,101987.0,6544.0,0.0,E09000010,51.6538,-0.0799,17.868230963120343,4.855136627630201
10,E09000011,greenwich,1999,21236.0,,22263.0,4.0,212168.0,,,,1,,90879.16666666667,4258.0,0.0,E09000011,51.4892,0.0648,14.058967000927177,4.082071898067047
11,E09000012,hackney,1999,23249.0,,39629.0,2.0,199087.0,,,,1,,105533.0,3065.0,0.0,E09000012,51.545,-0.0553,7.7838292956355035,2.663024552726539
12,E09000013,hammersmith and fulham,1999,25000.0,,28555.0,7.0,160634.0,,,,1,,198901.33333333334,4202.0,0.0,E09000013,51.4927,-0.2339,6.732919769826576,6.965551858985584
13,E09000014,haringey,1999,18783.0,,21683.0,5.0,218559.0,,,,1,,120083.5,4655.0,0.0,E09000014,51.6,-0.1119,11.569050505698213,5.538140478716045
14,E09000015,harrow,1999,20596.0,,22824.0,10.0,207909.0,,,,1,,126687.58333333333,4444.0,0.0,E09000015,51.5898,-0.3346,17.134422659769427,5.550630184601005
15,E09000016,havering,1999,17165.0,,18786.0,8.0,225712.0,,,,1,,92889.33333333333,4335.0,0.0,E09000016,51.5812,0.1837,24.14672312021206,4.944604137833138
16,E09000017,hillingdon,1999,24002.0,,28854.0,11.0,245053.0,,,,1,,108925.33333333333,5915.0,0.0,E09000017,51.5441,-0.476,24.085708432477933,3.775051408239181
17,E09000018,hounslow,1999,20155.0,,24602.0,14.0,214298.0,,,,1,,112073.66666666667,4197.0,0.0,E09000018,51.4746,-0.368,16.226645851389918,4.555469745007181
18,E09000019,islington,1999,25113.0,,34180.0,2.0,175717.0,,,,1,,155589.66666666666,3683.0,0.0,E09000019,51.5416,-0.1022,5.503385065590428,4.552067485859177
19,E09000020,kensington and chelsea,1999,20646.0,,28074.0,13.0,147678.0,,,,1,,311455.3333333333,5017.0,0.0,E09000020,51.502,-0.1947,4.026561860056956,11.094084680962219
20,E09000021,kingston upon thames,1999,19302.0,,22967.0,18.0,146003.0,,,,1,,129697.0,4064.0,0.0,E09000021,51.4085,-0.3064,15.353537182121393,5.647102364261767
21,E09000022,lambeth,1999,23151.0,,27930.0,8.0,266817.0,,,,1,,116616.33333333333,6011.0,0.0,E09000022,51.4607,-0.1163,4.315516335946771,4.175307315908819
22,E09000023,lewisham,1999,20580.0,,23283.0,4.0,250310.0,,,,1,,84695.16666666667,5532.0,0.0,E09000023,51.4452,-0.0209,9.941177526580391,3.6376397657804693
23,E09000024,merton,1999,18962.0,,21867.0,11.0,185062.0,,,,1,,121901.41666666667,5068.0,0.0,E09000024,51.4014,-0.1958,11.412143008083262,5.574674928735843
